ID_cliente,Abandono,Género_cliente,Cliente_adulto_mayor,Pareja_del_cliente,Dependientes_del_cliente,Antigüedad_cliente
0114-RSRRW,0,Female,0,1,0,10
0115-TFERT,1,Male,0,1,0,21
0117-LFRMW,1,Male,0,1,1,37
0118-JPNOY,0,Female,1,0,0,26
0121-SNYRK,0,Male,0,0,0,50
0122-OAHPZ,1,Female,0,0,0,7
0123-CRBRT,0,Female,0,1,1,61
0125-LZQXK,1,Male,0,0,0,15
0128-MKWSG,0,Female,0,0,1,26
0129-KPTWJ,0,Male,0,1,0,72
0129-QMPDR,0,Male,0,1,1,44
0130-SXOUN,0,Male,0,0,0,66
0133-BMFZO,1,Female,0,0,0,2
0134-XWXCE,0,Female,1,0,0,44
0135-NMXAP,1,Female,0,0,0,12
0136-IFMYD,0,Male,1,1,0,69
0137-OCGAB,1,Female,0,0,0,1
0137-UDEUO,1,Female,0,0,0,3
0139-IVFJG,0,Female,0,1,0,2
0141-YEAYS,0,Female,1,0,0,27
0142-GVYSN,0,Male,0,0,0,26
0147-ESWWR,0,Female,1,1,0,39
0148-DCDOS,1,Male,0,0,0,25
0151-ONTOV,1,Female,0,0,0,1
0156-FVPTA,1,Male,0,1,0,22
0164-APGRB,0,Female,0,0,0,72
0164-XAIRP,0,Female,0,0,0,24
0168-XZKBB,0,Female,0,1,0,19
0174-QRVVY,0,Male,0,1,1,71
0177-PXBAT,0,Male,1,1,0,33
0178-CIIKR,0,Female,0,0,0,3
0178-SZBHO,0,Male,0,1,1,47
0181-RITDD,0,Male,0,1,1,62
0186-CAERR,0,Male,0,0,0,71
0187-QSXOE,0,Male,1,1,0,7
0187-WZNAB,0,Female,0,1,1,27
0188-GWFLE,0,Male,0,0,0,2
0191-EQUUH,0,Female,0,0,1,25
0191-ZHSKZ,0,Male,1,0,0,30
0193-ESZXP,1,Female,1,1,0,58
0195-IESCP,1,Male,0,1,0,10
0196-JTUQI,0,Female,0,0,0,9
0196-VULGZ,1,Female,1,1,0,6
0197-PNKNK,0,Female,0,1,1,69
0201-MIBOL,0,Female,1,0,0,66
0201-OAMXR,1,Female,0,0,0,70
0203-HHYIJ,1,Male,0,0,0,25
0206-OYVOC,0,Female,0,1,1,46
0206-TBWLC,0,Female,0,1,0,54
0207-MDKNV,1,Female,0,0,0,15
0208-BPQEJ,0,Female,0,1,1,12
0212-ISBBF,0,Female,0,0,0,22
0214-JHPFW,0,Female,0,1,0,70
0215-BQKGS,0,Male,0,0,0,30
0218-QNVAS,0,Male,0,1,1,71
0219-QAERP,0,Male,0,1,0,30
0219-YTZUE,1,Male,0,1,1,4
0220-EBGCE,1,Male,0,0,0,2
0221-NAUXK,0,Male,0,0,1,10
0221-WMXNQ,0,Male,1,0,0,4
0222-CNVPT,0,Male,1,0,0,52
0224-HJAPT,1,Male,0,0,0,5
0224-NIJLP,0,Male,0,1,1,8
0224-RLWWD,0,Female,1,0,0,2
0225-ZORZP,0,Male,0,0,0,3
0228-MAUWC,0,Male,0,0,0,19
0229-LFJAF,0,Male,0,0,0,72
0230-UBYPQ,0,Male,1,1,0,63
0230-WEQUW,0,Male,0,1,0,66
0231-LXVAP,1,Male,0,0,0,1
0233-FTHAV,0,Female,0,0,0,60
0234-TEVTT,0,Female,0,1,1,48
0235-KGSLC,1,Female,0,0,0,1
0236-HFWSV,1,Male,0,0,0,15
0237-YFUTL,0,Female,0,1,0,50
0238-WHBIQ,0,Male,0,1,1,72
0239-OXEXL,0,Female,0,0,0,46
0244-LGNFY,0,Female,0,1,1,72
0247-SLUJI,0,Male,0,1,1,1
0248-IPDFW,0,Female,0,0,0,1
0248-PGHBZ,0,Female,1,0,0,67
0253-ZTEOB,0,Female,0,1,1,48
0254-FNMCI,0,Female,0,0,0,72
0254-KCJGT,0,Male,0,1,0,52
0254-WWRKD,0,Female,0,1,1,67
0256-LTHVJ,1,Female,0,1,1,28
0257-KXZGU,0,Female,0,1,1,32
0257-ZESQC,1,Female,1,1,0,27
0258-NOKBL,0,Male,0,0,0,3
0259-GBZSH,1,Male,0,0,0,2
0260-ZDLGK,1,Female,0,0,1,9
0263-FJTQO,0,Male,0,1,1,50
0264-CNITK,0,Female,0,1,1,71
0265-EDXBD,1,Male,1,1,0,32
0265-PSUAE,0,Female,0,1,1,16
0266-CLZKZ,0,Female,0,1,1,67
0266-GMEAO,0,Male,0,1,1,72
0268-QKIWO,1,Female,0,0,0,3
0269-XFESX,0,Male,0,1,1,23
0270-THENM,0,Male,0,1,1,72
0274-JKUJR,0,Male,0,1,1,7
0277-BKSQP,0,Male,0,1,1,8
0277-ORXQS,0,Male,0,1,1,66
0278-YXOOG,1,Male,0,0,0,5
0280-XJGEX,1,Male,0,0,0,49
0281-CNTZX,0,Male,0,1,0,63
0282-NVSJS,0,Female,1,1,1,12
0285-INHLN,0,Male,0,1,1,27
0289-IVARM,0,Female,0,0,0,35
0292-WEGCH,0,Female,0,1,1,54
0295-PPHDO,1,Male,0,0,0,1
0295-QVKPB,0,Male,0,0,0,5
0297-RBCSG,0,Male,0,0,0,19
0298-XACET,0,Male,0,1,1,52
0301-FIDRB,0,Female,0,1,1,72
0301-KOBTQ,0,Male,0,0,0,32
0302-JOIVN,1,Female,0,1,0,8
0303-UNCIP,0,Male,0,0,0,41
0303-WMMRN,0,Male,0,0,0,5
0305-SQECB,0,Female,0,0,1,11
0306-JAELE,1,Male,0,0,0,5
0307-BCOPK,0,Female,0,0,0,16
0308-GIQJT,0,Male,1,0,0,71
0308-IVGOK,0,Female,0,0,0,11
0310-MVLET,1,Female,0,1,1,61
0310-SUCIN,0,Female,0,1,0,71
0310-VQXAM,0,Male,0,0,0,9
0311-QYWSS,0,Female,0,0,0,6
0311-UNPFF,1,Female,0,0,0,26
0314-TKOSI,0,Female,0,0,0,6
0315-LVCRK,0,Male,0,0,0,11
0318-QUUOB,1,Male,0,1,0,1
0318-ZOPWS,0,Female,0,1,0,49
0319-QZTCO,0,Female,0,1,1,3
0320-DWVTU,0,Female,0,0,0,53
0320-JDNQG,1,Male,0,1,1,23
0322-CHQRU,1,Male,0,0,0,2
0322-YINQP,1,Male,0,0,0,1
0323-XWWTN,0,Male,0,0,1,3
0324-BRPCJ,1,Female,1,1,0,68
0325-XBFAC,1,Male,0,0,0,8
0326-VDYXE,0,Female,0,1,0,70
0327-WFZSY,0,Male,0,1,1,39
0328-GRPMV,1,Female,0,0,0,1
0329-GTIAJ,1,Female,0,0,0,3
0330-BGYZE,0,Male,0,1,0,60
0330-IVZHA,1,Female,0,1,0,5
0334-GDDSO,1,Male,1,0,0,3
0334-ZFJSR,0,Female,0,1,0,55
0336-KXKFK,0,Male,0,0,0,72
0336-PIKEI,0,Male,1,1,0,72
0337-CNPZE,1,Female,0,0,0,41
0343-QLUZP,0,Male,0,0,0,60
0345-HKJVM,1,Female,0,0,0,6
0345-XMMUG,0,Female,0,1,0,46
0347-UBKUZ,0,Female,0,0,0,15
0348-SDKOL,1,Female,0,1,0,58
0354-VXMJC,0,Male,0,1,1,23
0354-WYROK,1,Female,1,1,1,31
0356-ERHVT,0,Male,0,1,0,11
0356-OBMAC,0,Female,1,0,0,56
0357-NVCRI,0,Female,0,0,1,25
0361-HJRDX,0,Female,0,0,0,68
0362-RAOQO,0,Female,0,0,0,40
0362-ZBZWJ,1,Male,0,0,0,36
0363-QJVFX,1,Male,0,0,0,32
0363-SVHYR,0,Male,0,1,1,71
0365-BZUWY,0,Male,0,1,0,17
0365-GXEZS,0,Male,0,1,0,18
0365-TRTPY,0,Female,0,0,0,37
0366-NQSHS,0,Male,0,0,0,2
0369-ZGOVK,0,Female,0,1,1,28
0373-AIVNJ,0,Male,0,0,0,9
0374-AACSZ,0,Female,0,0,0,1
0374-FIUCA,0,Male,0,1,0,65
0374-IOEGQ,0,Female,0,0,0,3
0375-HVGXO,1,Female,0,0,0,1
0376-OIWME,0,Male,0,1,0,36
0376-YMCJC,1,Male,0,0,0,23
0377-JBKKT,0,Male,0,1,1,22
0378-CJKPV,0,Female,0,1,0,72
0378-NHQXU,1,Female,0,1,1,17
0378-TOVMS,1,Female,0,0,0,3
0378-XSZPU,1,Male,0,1,0,58
0379-DJQHR,0,Male,0,1,1,67
0380-NEAVX,0,Male,1,0,0,34
0380-ZCSBI,0,Male,0,0,0,10
0383-CLDDA,0,Female,0,0,0,69
0384-LPITE,0,Male,0,0,0,40
0384-RVBPI,0,Male,0,0,0,20
0386-CWRGM,0,Female,0,1,1,46
0388-EOPEX,1,Female,0,1,0,2
0390-DCFDQ,1,Female,1,1,0,1
0392-BZIUW,0,Female,0,1,0,72
0394-YONDK,0,Male,0,1,1,70
0396-HUJBP,0,Female,0,0,0,2
0396-UKGAI,0,Male,0,0,1,23
0396-YCHWO,0,Male,0,1,0,36
0397-GZBBC,1,Male,1,1,0,59
0397-ZXWQF,0,Male,0,0,0,67
0401-WDBXM,0,Male,0,1,1,72
0402-CQAJN,1,Female,0,0,0,37
0402-OAMEN,0,Female,0,1,1,72
0404-AHASP,0,Male,0,1,0,72
0404-SWRVG,1,Male,0,0,0,3
0406-BPDVR,1,Female,1,1,0,54
0407-BDJKB,1,Male,0,1,0,60
0409-WTMPL,0,Female,0,1,0,58
0410-IPFTY,0,Female,0,1,0,31
0411-EZJZE,0,Female,0,0,0,3
0412-UCCNP,0,Male,0,0,0,55
0415-MOSGF,1,Female,0,0,0,1
0419-YAAPX,0,Male,0,1,0,49
0420-BWTPW,1,Male,0,0,1,8
0420-HLGXF,0,Female,1,0,0,39
0420-TXVSG,0,Male,0,1,0,66
0422-OHQHQ,0,Female,0,1,1,15
0422-UXFAP,0,Female,0,1,0,51
0423-UDIJQ,0,Male,1,0,0,9
0426-TIRNE,1,Female,0,0,0,1
0428-AXXLJ,0,Male,0,0,0,25
0428-IKYCP,0,Male,0,1,0,22
0430-IHCDJ,0,Male,0,0,0,15
0431-APWVY,1,Female,0,1,1,28
0432-CAJZV,0,Male,0,0,0,3
0434-CSFON,0,Female,0,1,0,47
0436-TWFFZ,0,Female,0,0,0,67
0439-IFYUN,0,Female,1,0,0,18
0440-EKDCF,0,Male,0,1,0,62
0440-MOGPM,0,Female,0,0,0,41
0440-QEXBZ,0,Female,0,0,0,44
0440-UEDAI,0,Female,0,0,0,53
0442-TDYUO,0,Male,0,1,0,48
0442-ZXKVS,0,Female,1,1,0,54
0447-BEMNG,1,Female,0,1,0,48
0447-RXSGD,0,Male,0,0,0,24
0454-OKRCT,0,Male,0,0,0,33
0455-ENTCR,0,Male,0,1,0,66
0455-XFASS,0,Female,0,1,1,3
0458-HEUZG,0,Female,0,0,0,13
0459-SPZHJ,0,Male,0,1,1,63
0461-CVKMU,1,Female,0,1,1,23
0463-TXOAK,0,Male,0,0,1,52
0463-WZZKO,0,Male,0,0,0,3
0463-ZSDNT,0,Male,0,0,0,10
0464-WJTKO,0,Female,0,1,1,72
0468-YRPXN,0,Male,0,0,0,29
0471-ARVMX,0,Female,1,1,0,62
0471-LVHGK,1,Male,0,1,0,41
0475-RIJEP,1,Male,0,0,0,43
0479-HMSWA,0,Female,0,0,1,26
0480-BIXDE,0,Female,0,1,0,19
0480-KYJVA,0,Female,0,1,1,72
0481-SUMCB,0,Female,1,0,0,45
0484-FFVBJ,0,Male,0,0,0,32
0484-JPBRU,0,Male,0,0,0,41
0485-ZBSLN,0,Male,0,1,1,65
0486-HECZI,1,Male,0,1,0,55
0486-LGCCH,0,Male,0,1,1,11
0487-CRLZF,0,Female,0,0,0,49
0487-RPVUM,0,Male,0,1,0,61
0487-VVUVK,0,Male,0,1,1,25
0488-GSLFR,1,Female,0,0,0,1
0489-WMEMG,0,Female,0,0,1,23
0491-KAPQG,0,Male,0,0,0,21
0495-RVCBF,1,Female,0,0,0,1
0495-ZBNGW,1,Male,1,1,0,5
0496-AHOOK,0,Male,0,1,0,24
0504-HHAPI,1,Female,1,0,0,27
0505-SPOOW,0,Female,0,1,0,70
0506-LVNGN,1,Female,1,0,0,5
0506-YLVKJ,0,Male,0,1,1,46
0508-OOLTO,0,Female,0,1,1,2
0508-SQWPL,0,Female,0,1,1,57
0511-JTEOY,1,Female,0,0,0,1
0512-FLFDW,0,Female,1,1,0,60
0513-RBGPE,0,Male,0,1,1,37
0515-YPMCW,1,Male,0,0,1,1
0516-OOHAR,0,Male,0,1,1,28
0516-QREYC,0,Female,1,0,0,24
0516-UXRMT,0,Female,0,0,0,62
0516-VRYBW,1,Female,0,0,1,18
0516-WJVXC,1,Female,0,0,0,5
0519-DRGTI,0,Female,0,1,1,20
0519-XUZJU,1,Female,0,0,0,1
0520-FDVVT,1,Male,0,0,0,35
0523-VNGTF,0,Female,1,0,0,52
0524-IAVZO,1,Female,0,1,0,30
0526-SXDJP,0,Male,0,1,0,72
0529-ONKER,1,Male,1,0,0,15
0530-IJVDB,0,Male,0,0,1,70
0531-XBKMM,0,Male,0,0,1,66
0531-ZZJWQ,0,Male,1,1,0,55
0533-BNWKF,1,Female,1,1,0,55
0533-UCAAU,0,Male,1,1,0,57
0536-ACXIP,0,Female,0,1,0,72
0536-BGFMZ,0,Female,0,1,0,28
0536-ESJEP,0,Male,0,1,0,54
0537-QYZZN,0,Male,1,1,1,24
0541-FITGH,0,Female,0,1,0,2
0547-HURJB,0,Male,0,0,1,12
0549-CYCQN,0,Male,1,0,0,51
0550-DCXLH,0,Male,0,0,0,13
0556-FJEGU,0,Male,0,0,0,58
0557-ASKVU,0,Female,0,1,1,18
0559-CKHUS,0,Female,0,1,0,29
0562-FGDCR,0,Female,0,1,1,72
0562-HKHML,0,Male,0,1,1,71
0562-KBDVM,0,Female,0,0,0,70
0564-JJHGS,1,Male,0,0,0,9
0564-MUUQK,0,Female,0,1,1,20
0565-IYCGT,1,Male,0,0,0,69
0565-JUPYD,0,Male,0,0,0,63
0567-GGCAC,0,Female,0,0,0,7
0567-XRHCU,0,Female,0,1,1,69
0568-ONFPC,1,Male,0,1,1,5
0570-BFQHT,0,Female,0,0,0,9
0572-ZJKLT,0,Female,0,1,1,46
0575-CUQOV,0,Male,1,1,0,60
0576-WNXXC,1,Male,1,1,0,27
0577-WHMEV,0,Female,0,1,0,16
0578-SKVMF,1,Female,0,1,1,22
0580-PIQHM,0,Female,0,1,1,41
0581-BXBUB,0,Female,1,0,0,4
0581-MDMPW,0,Female,0,0,0,24
0582-AVCLN,0,Female,0,0,0,38
0584-BJQGZ,0,Female,0,0,0,25
0585-EGDDA,0,Male,0,1,0,40
0587-DMGBH,1,Female,0,0,0,8
0594-UFTUL,0,Male,0,1,1,13
0595-ITUDF,0,Male,0,1,1,64
0596-BQCEQ,1,Female,0,1,1,62
0599-XNYDO,0,Female,0,1,0,20
0601-WZHJF,1,Male,0,1,0,14
0602-DDUML,0,Female,0,0,0,57
0603-OLQDC,0,Male,0,0,1,12
0603-TPMIB,0,Female,0,1,1,59
0604-THJFP,0,Female,0,1,1,59
0607-DAAHE,1,Male,0,0,1,53
0607-MVMGC,0,Male,0,1,1,45
0608-JDVEC,0,Male,0,1,0,50
0611-DFXKO,1,Male,0,1,0,20
0612-RTZZA,1,Female,1,0,0,1
0613-WUXUM,0,Female,0,1,1,70
0616-ATFGB,1,Male,1,1,0,1
0617-AQNWT,1,Female,0,1,0,64
0617-FHSGK,1,Male,0,0,1,49
0618-XWMSS,1,Male,0,0,1,28
0619-OLYUR,0,Male,0,1,0,72
0620-DLSLK,0,Female,0,0,0,13
0620-XEFWH,0,Male,0,1,1,4
0621-CXBKL,0,Female,0,0,0,53
0621-HJWXJ,0,Female,0,1,0,63
0621-JFHOL,0,Female,0,0,0,10
0621-TSSMU,0,Male,0,1,0,56
0621-TWIEM,1,Male,0,0,0,10
0623-EJQEG,0,Male,0,0,0,65
0623-GDISB,0,Female,0,0,0,1
0623-IIHUG,1,Female,1,0,0,21
0625-AFOHS,0,Female,0,1,1,29
0626-QXNGV,0,Female,0,1,0,72
0628-CNQRM,1,Male,0,1,1,22
0634-SZPQA,1,Female,0,0,0,23
0635-WKOLD,0,Male,0,1,0,40
0637-KVDLV,1,Male,0,0,0,2
0637-UBJRP,1,Male,0,1,1,13
0637-YLETY,1,Female,0,0,0,16
0639-TSIQW,1,Female,0,0,0,67
0640-YJTPY,0,Male,0,1,1,72
0641-EVBOJ,0,Male,0,0,0,3
0643-OKLRP,1,Female,1,1,0,47
0644-OQMDK,0,Male,1,0,0,4
0650-BWOZN,0,Female,1,0,0,18
0654-HMSHN,1,Male,0,1,1,21
0654-PQKDW,0,Female,0,1,1,62
0655-RBDUG,1,Male,0,0,0,7
0655-YDGFJ,0,Male,0,0,0,29
0657-DOGUM,0,Female,0,1,0,48
0661-KBKPA,0,Male,0,1,1,53
0661-KQHNK,0,Female,0,1,1,6
0661-WCQNQ,0,Male,0,1,0,22
0661-XEYAN,1,Female,1,0,0,1
0665-XHDJU,0,Male,0,1,0,72
0666-UXTJO,0,Male,1,1,0,34
0667-NSRGI,0,Female,0,1,0,48
0668-OGMHD,0,Female,0,1,0,21
0670-ANMUU,0,Male,0,0,0,71
0670-KDOMA,0,Female,0,0,0,1
0673-IGUQO,0,Male,0,0,0,1
0674-DGMAQ,0,Male,1,1,0,32
0674-EYYZV,0,Female,0,0,0,1
0674-GCDXG,0,Male,0,0,0,63
0675-NCDYU,0,Female,0,1,1,72
0678-RLHVP,0,Female,0,0,0,53
0679-IDSTG,1,Female,1,1,1,1
0679-TDGAK,0,Male,0,1,1,50
0680-DFNNY,1,Male,0,1,0,15
0682-USIXD,0,Female,0,1,0,21
0684-AOSIH,1,Male,0,1,0,1
0685-MLYYM,1,Female,1,0,0,2
0687-ZVTHB,1,Male,0,1,1,65
0689-DSXGL,0,Female,0,1,1,52
0689-NKYLF,1,Male,0,0,0,13
0690-SRQID,0,Male,0,0,0,4
0691-IFBQW,1,Female,1,0,0,46
0691-JVSYA,1,Female,0,1,0,53
0691-NIKRI,0,Female,0,0,0,40
0696-UKTOX,0,Male,0,0,1,23
0697-ZMSWS,1,Male,0,0,0,4
0699-NDKJM,0,Female,0,1,0,57
0701-RFGFI,0,Female,0,1,1,49
0701-TJSEF,0,Male,0,0,0,9
0702-PGIBZ,1,Male,0,0,1,4
0704-VCUMB,0,Female,0,1,0,61
0707-HOVVN,0,Female,1,0,0,70
0708-LGSMF,0,Male,0,1,0,13
0708-SJDIS,0,Female,0,0,0,34
0709-TVGUR,1,Female,1,0,0,9
0716-BQNDX,0,Male,1,0,0,57
0719-SYFRB,1,Female,0,0,0,12
0722-SVSFK,0,Female,0,0,0,7
0722-TROQR,1,Female,1,0,0,4
0723-DRCLG,1,Female,1,1,0,1
0723-FDLAY,0,Male,0,0,0,44
0723-VSOBE,0,Female,1,0,0,45
0725-CXOTM,0,Female,0,0,0,36
0727-BMPLR,1,Female,1,0,0,55
0727-BNRLG,0,Male,0,0,0,69
0727-IWKVK,1,Male,0,1,0,9
0730-BGQGF,0,Male,0,1,1,71
0730-KOAVE,0,Male,0,0,0,30
0731-EBJQB,0,Female,0,1,1,52
0732-OCQOC,0,Female,0,1,1,52
0733-VUNUW,1,Male,0,0,0,24
0734-OXWBT,0,Male,0,0,1,3
0739-UUAJR,0,Female,0,1,1,72
0742-LAFQK,0,Male,0,1,0,72
0742-MOABM,1,Male,0,1,0,4
0742-NXBGR,1,Female,0,0,0,1
0743-HNPFG,0,Female,0,1,1,51
0743-HRVFF,0,Female,0,1,1,51
0744-BIKKF,0,Male,0,0,0,72
0744-GKNGE,0,Female,0,1,1,64
0746-JTRFU,1,Male,0,0,0,2
0748-RDGGM,1,Male,0,1,0,70
0749-IRGQE,0,Female,1,1,0,13
0750-EBAIU,0,Male,0,0,0,52
0750-EKNGL,0,Male,0,0,0,7
0754-EEBDC,0,Male,0,1,1,4
0754-UKWQP,1,Male,0,0,0,2
0756-MPZRL,0,Male,0,0,0,46
0757-WCUUZ,0,Male,0,1,1,54
0761-AETCS,1,Female,0,0,0,1
0769-MURVM,0,Female,0,1,1,72
0771-CHWSK,0,Male,0,0,0,66
0771-WLCLA,0,Female,0,1,1,16
0772-GYEQQ,1,Male,0,0,0,3
0774-IFUVM,0,Male,0,1,1,11
0774-RMNUW,0,Female,0,1,1,71
0778-NELLA,1,Male,0,0,0,9
0780-XNZFN,0,Male,0,0,0,57
0781-LKXBR,1,Male,1,0,0,9
0784-GTUUK,0,Male,0,1,0,62
0784-ZQJZX,0,Male,0,0,1,72
0786-IVLAW,0,Female,1,0,0,66
0786-VSSUD,1,Male,1,0,0,16
0787-LHDYT,0,Male,0,0,0,16
0788-DXBFY,0,Male,0,1,1,58
0793-TWELN,0,Female,0,0,0,4
0794-YVSGE,0,Male,0,1,1,72
0795-GMVQO,0,Male,0,1,0,67
0795-LAFGP,0,Male,0,1,1,71
0795-XCCTE,0,Male,1,0,0,72
0799-DDIHE,0,Female,0,1,1,15
0804-XBFBV,0,Female,0,0,1,11
0804-YGEQV,0,Female,0,1,1,43
0807-ZABDG,1,Female,0,0,1,3
0810-BDHAW,0,Female,0,1,1,24
0810-DHDBD,0,Female,0,0,0,52
0811-GSDTP,0,Female,0,0,1,13
0812-WUPTB,1,Male,1,1,0,1
0813-TAXXS,0,Male,0,0,0,55
0815-MFZGM,0,Female,0,1,0,42
0816-TSPHQ,0,Male,0,0,0,2
0817-HSUSE,0,Male,0,0,0,1
0818-OCPZO,1,Male,1,0,0,27
0820-FNRNX,0,Male,0,1,1,17
0822-GAVAP,1,Female,0,0,0,2
0822-QGCXA,0,Female,1,1,0,27
0823-HSCDJ,1,Male,1,0,0,52
0824-VWDPO,0,Female,0,0,0,45
0825-CPPQH,0,Female,0,1,0,71
0827-ITJPH,0,Male,0,0,0,36
0829-DDVLK,0,Female,0,0,0,15
0829-XXPLX,0,Female,0,0,0,20
0831-JNISG,0,Male,0,1,1,71
0835-DUUIQ,0,Female,0,0,1,24
0835-JKADZ,0,Female,0,0,0,71
0836-SEYLU,1,Male,0,1,0,9
0839-JTCUD,0,Female,0,1,1,66
0839-QNXME,0,Female,0,0,0,30
0840-DCNZE,0,Male,0,0,0,47
0840-DFEZH,0,Female,0,0,0,7
0841-NULXI,1,Male,0,0,0,1
0842-IWYCP,0,Female,0,0,0,46
0843-WTBXE,1,Male,0,0,0,53
0847-HGRML,0,Male,0,0,1,62
0848-SOMKO,0,Male,0,0,0,70
0848-ZGQIJ,0,Female,0,1,0,16
0851-DFJKB,0,Female,0,0,0,15
0853-NWIFK,0,Female,0,0,0,45
0853-TWRVK,0,Male,0,1,0,72
0854-UYHZD,0,Female,0,1,1,13
0856-NAOES,0,Male,0,0,0,6
0859-YGKFW,0,Male,0,1,1,18
0862-PRCBS,0,Female,0,1,1,68
0864-FVJNJ,0,Female,0,1,1,64
0866-QLSIR,1,Female,0,0,0,34
0867-LDTTC,0,Male,0,0,0,5
0867-MKZVY,1,Female,0,1,0,20
0868-VJRDR,0,Male,0,1,0,64
0869-PAPRP,0,Female,1,1,0,26
0870-VEMYL,1,Female,0,0,0,5
0871-OPBXW,0,Female,0,0,0,2
0871-URUWO,1,Male,0,1,0,13
0872-CASZJ,0,Male,0,1,0,59
0872-JCPIB,0,Male,0,0,0,17
0872-NXJYS,1,Female,0,0,0,9
0875-CABNR,1,Female,1,0,0,10
0876-WDUUZ,1,Female,0,0,0,5
0877-SDMBN,1,Female,0,0,0,54
0880-FVFWF,0,Male,0,0,0,56
0880-TKATG,1,Male,0,1,1,4
0883-EIBTI,1,Female,0,0,0,2
0885-HMGPY,0,Male,0,0,0,62
0886-QGENL,1,Female,1,1,0,27
0887-HJGAR,1,Male,0,0,0,1
0887-WBJVH,0,Female,0,1,0,53
0895-DQHEW,1,Male,0,1,0,54
0895-LMRSF,0,Male,0,0,0,23
0895-LNKRC,0,Male,0,1,1,6
0895-UADGO,0,Male,0,0,1,8
0897-FEGMU,1,Female,0,1,0,11
0898-XCGTF,0,Male,0,1,0,61
0899-LIIBW,0,Male,0,1,0,34
0899-WZRSD,0,Male,0,0,0,56
0902-RFHOF,0,Male,0,0,0,38
0902-XKXPN,0,Male,0,1,1,69
0906-QVPMS,0,Male,0,1,0,72
0907-HQNTS,0,Female,1,1,0,70
0909-SDHNU,0,Female,0,0,1,7
0909-SELIE,0,Male,0,1,0,61
0913-XWSCN,0,Male,0,1,1,55
0916-KNFAJ,0,Male,0,1,0,61
0916-QOFDP,0,Female,1,1,1,14
0917-EZOLA,1,Male,1,1,0,72
0921-OHLVP,0,Male,0,0,0,22
0923-PNFUB,1,Female,0,0,0,3
0924-BJCRC,0,Female,1,1,0,60
0925-VYDLG,1,Female,0,0,0,3
